Lab Id,Laboratory
2436,"[Australia, Parkville ] Seqirus Pty Ltd (CSL Group)"
2594,"[Australia, Brisbane] University of Queensland"
2593,"[Australia, Windsor] University of Queensland"
3683,"[Australia, Geelong] VIC - Australian Clinical Labs (ACL) - Geelong"
3658,"[Australia, Melbourne] Victoria Infectious Diseases Reference Laboratory"
142,"[Australia, North Melbourne] Victorian Infectious Diseases Reference Laboratory"
1554,"[Australia, North Melbourne] WHO Centre for Reference & Research on Influenza"
3497,"[Australia, Melbourne] WHO Collaborating Centre for Reference and Research on Influenza"
303,"[Australia, Melbourne] WHO Collaborating Centre for Reference and Research on Influenza"
133,"[Australia, Sydney] Westmead Hospital"
3542,"[Austria, Wien, Austria] AGES - Österreichische Agentur für Gesundheit und Ernährungssiche ..."
3663,"[Austria, Mödling] AGES Institut für veterinärmedizinische Untersuchungen"
3666,"[Austria, Mödling] Austrian Agency for Health and Food Safety (AGES)"
1443,"[Austria, Vienna] Department of Virology, Medical University Vienna"
3662,"[Austria, Mödling] Institut für veterinärmedizinische Untersuchungen"
3667,"[Austria, Wien] Institute for Medical Microbiology and Hygiene Vienna"
3664,"[Austria, Moedling] Institute for Veterinary Disease Control Moedling"
1601,"[Austria, Moedling] Institute for Veterinary Disease Control Moedling, Austrian Agency for ..."
3718,"[Austria, Seibersdorf] International Atomic Energy Agency Laboratories"
1444,"[Austria, Vienna] Medical University Vienna"
3340,"[Austria, Vienna] Medical University of Vienna"
3665,"[Austria, Moedling] NRL for avian influenza Moedling"
243,"[Austria, Vienna] University of Vienna"
2070,"[Azerbaijan, Baku] Republican Anti-Plague Station"
1515,"[Bahrain, Manama] Ministry of Health Bahrain"
3798,"[Bahrain, Salmaniya] National Influenza Center, Bahrain"
3456,"[Bangladesh, Mymensingh] Bangladesh Agricultural University"
2228,"[Bangladesh, Mymensingh] Bangladesh Agricultural University, Faculty of Veterinary Science ..."
2223,"[Bangladesh, Dhaka] Bangladesh Livestock Research Institute"
3151,"[Bangladesh, Khulshi] Chattogram Veterinary and Animal Sciences University"
3270,"[Bangladesh, Dhaka] Evercare Hospital Dhaka"
1147,"[Bangladesh, Dhaka] Institute of Epidemiology Disease Control and Research (IEDCR) & Bangl ..."
3261,"[Bangladesh, Dhaka] International Centre for Diarrhoeal Disease Research (ICDDR,B)"
3431,"[Bangladesh, Dhaka] International Centre for Diarrhoeal Disease Research (icddr,b)"
3660,"[Bangladesh, Dhaka] International Centre for Diarrhoeal Disease Research (icddr,b)"
2033,"[Bangladesh, Dhaka] icddr,b International Centre for Diarrhoeal Disease Research, Banglade ..."
1392,"[Barbados, Bridgetown] Public Health Laboratory"
1027,"[Belarus, Minsk] Laboratory of Influenza and ILI"
3320,"[Belgium, Merelbeke] Ghent University"
348,"[Belgium, Rixensart] GlaxoSmithKline Biologicals S.A. (GSK)"
3096,"[Belgium, Merelbeke] Laboratory of Virology, Faculty of Veterinary Medicine, Ghent Univers ..."
2438,"[Belgium, Uccle] SCIENSANO"
3051,"[Belgium, Ukkel] Sciensano"
3052,"[Belgium, Ukkel] Sciensano"
2692,"[Belgium, Brussel] Sciensano"
2193,"[Belgium, Brussels] Sciensano (Scientific Institute of Public Health)"
3053,"[Belgium, Uccle] Sciensano - Animal Infectious Diseases"
3055,"[Belgium, Brussels] Sciensano, Department of Animal Infectious Diseases"
224,"[Belgium, Brussels] Scientific Institute of Public Health"
1907,"[Belgium, Brussels] Scientific Institute of Public Health (WIV-ISP)"
3054,"[Belgium, Uccle] Veterinary and Agrochemical Research  Institute"
1002,"[Belgium, Uccle] Veterinary and Agrochemical Research Centre CODA-CERVA"
2255,"[Belize, Belize City] Central Medical Laboratory"
2231,"[Bhutan, Thimphu Bhutan] Royal Centre for Disease Control"
1393,"[Bolivia, Plurinationial State of, Santa Cruz] CENETROP"
1394,"[Bolivia, Plurinationial State of, La Paz] Instituto Nacional de Laboratoriosde Salud (INL ..."
2206,"[Bosnia and Herzegovina, Banja Luka] Public health institute of the Republic of Srpska"
3692,"[Bosnia and Herzegovina, Sarajevo] Sarajevo Veterinary Faculty"
3635,"[Bosnia and Herzegovina, Tuzla] University Clinical Center Tuzla, Polyclinic for Laborator ..."
1035,"[Bosnia and Herzegovina, Sarajevo] University of Sarajevo"
3691,"[Bosnia and Herzegovina, Banja Luka ] Veterinarski institut Republike Srpske Dr Vaso Butoz ..."
3313,"[Botswana, Gaborone] Botswana National Veterinary Laboratory"
3312,"[Botswana, Gaborone] Botswana National Veterinary Laboratory"
3314,"[Botswana, Gaborone] Botswana National Veterinary Laboratory"
3310,"[Botswana, Gaborone] Botswana National Veterinary Laboratory"
3309,"[Botswana, Gaborone] Botswana National Veterinary Laboratory"
3311,"[Botswana, Gaborone] Botswana National Veterinary Laboratory"
3371,"[Brazil, Eusebio] Analytical Competence Molecular Epidemiology Lab/ACME, Oswaldo Cruz Foun ..."
3383,"[Brazil, Bernadino De Campos] CENTRO DE ATENDIMENTO COVID"
3274,"[Brazil, Ananindeua] Evandro Chagas Institute"
3276,"[Brazil, Ananindeua] Evandro Chagas Institute"
3248,"[Brazil, Ananindeua] Evandro Chagas Institute"
3277,"[Brazil, Ananindeua] Evandro Chagas Institute"
2009,"[Brazil, Ananindeua] Evandro Chagas Institute"
3289,"[Brazil, Ananindeua] Evandro Chagas Institute"
3275,"[Brazil, Ananindeua] Evandro Chagas Institute"
3757,"[Brazil, Salvador] FIOCRUZ - Instituto Gonçalo Moniz"
160,"[Brazil, Gameleira - Belo Horizonte] FUNED MG"
3685,"[Brazil, Campo Grande] Fundacao Oswaldo Cruz - Mato Grosso do Sul"
3562,"[Brazil, Rio de Janeiro] GISAID Academy"
3690,"[Brazil, Maracanau] HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA"
3381,"[Brazil, Pacatuba] HOSPITAL RAIMUNDO CELIO RODRIGUES"
3221,"[Brazil, São Paulo] Hospital Israelita Albert Einstein"
3766,"[Brazil, Botucatu] INSTITUTO DE BIOTECNOLOGIA - IBTEC"
2137,"[Brazil, São Paulo] Instituto Adolfo Lutz"
2480,"[Brazil, São Paulo] Instituto Adolfo Lutz"
1396,"[Brazil, Sao Paulo] Instituto Adolfo Lutz"
3206,"[Brazil, Sao Jose do Rio Preto] Instituto Adolfo Lutz"
3205,"[Brazil, Sao Paulo] Instituto Adolfo Lutz"
3240,"[Brazil, São Paulo] Instituto Adolfo Lutz - National Influenza Center"
3210,"[Brazil, Sao Paulo] Instituto Adolfo Lutz - National Influenza Center"
3207,"[Brazil, Santo Andre] Instituto Adolfo Lutz - Regional de Santo Andre"
3482,"[Brazil, Sao Paulo] Instituto Butantan"
3595,"[Brazil, São Paulo] Instituto Butantan"
3483,"[Brazil, Sao Paulo] Instituto Butantan"
161,"[Brazil, Rio de Janeiro] Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruse ..."
3124,"[Brazil, Rio de Janeiro] Instituto Oswaldo Cruz/IOC"
3704,"[Brazil, São Paulo] Instituto de Medicina Tropical"
3686,"[Brazil, Cascavel] LAB DE A CLIN MUNICIPAL DE CASCAVEL"
3693,"[Brazil, Cuiabá] LABORATORIO CENTRAL DO ESTADO DE MATO GROSSO / LACEN-MT"
3384,"[Brazil, Florianopolis] LABORATORIO MUNICIPAL ARACY VAZ CALLADO"
170,"[Brazil, Santa Catarina] LACEN SC"
3288,"[Brazil, Rio Branco] LACEN-AC - Laboratório Central de Saúde Pública do Acre"
3285,"[Brazil, Manaus] LACEN/AM - Laboratório Central de Saúde Pública do Amazonas"
3282,"[Brazil, Manaus] LACEN/AM - Laboratório Central de Saúde Pública do Amazonas"
3283,"[Brazil, Manaus] LACEN/AM - Laboratório Central de Saúde Pública do Amazonas"
3284,"[Brazil, Manaus] LACEN/AM - Laboratório Central de Saúde Pública do Amazonas"
3286,"[Brazil, Macapa] LACEN/AP - Laboratório Central de Saúde Pública do Amapá"
3436,"[Brazil, Fortaleza] LACEN/CE - Laboratório Central de Saúde Pública do Ceará"
2043,"[Brazil, Vitoria] LACEN/ES - Laboratório Central de Saúde Pública do Espírito Santo"
3290,"[Brazil, São Luís] LACEN/MA - Laboratório Central de Saúde Pública do Maranhão"
3293,"[Brazil, João Pessoa] LACEN/PB - Laboratório Central de Saúde Pública da Paraíba"
3291,"[Brazil, Recife] LACEN/PE - Laboratório Central de Saúde Pública de Pernambuco"
3287,"[Brazil, Recife] LACEN/PE - Laboratório Central de Saúde Pública de Pernambuco"
1772,"[Brazil, Porto Alegre] LACEN/RS - Laboratório Central de Saúde Pública do Rio Grande do Su ..."
1788,"[Brazil, Florianópolis] LACEN/SC"
2044,"[Brazil, Aracaju] LACEN/SE - Laboratório Central de Saúde Pública de Sergipe - Instituto P ..."
1773,"[Brazil, Rio de Janeiro] Laboratorio Central do Estado do Rio de Janeiro - LACEN/RJ - Noel ..."
3123,"[Brazil, Rio de Janeiro] Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Insti ..."
3455,"[Brazil, Salvador] Laboratório Central de Saúde Publica do estado da Bahia"
162,"[Brazil, Rio de Janeiro -Bairro de Fátima] Laboratório Central de Saúde Pública (LACEN RJ)"
2042,"[Brazil, Salvador] Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA"
2041,"[Brazil, Maceio] Laboratório Central de Saúde Pública de Alagoas, LACEN-AL"
3506,"[Brazil, Goiânia] Laboratório Central de Saúde Pública de Goias"
3694,"[Brazil, cuiaba] Laboratório Central de Saúde Pública do Mato Grosso"
1774,"[Brazil, São José dos Pinhais ] Laboratório Central do Estado do Paraná - LACEN/PR"
3033,"[Brazil, Belo Horizonte] Laboratório de Pesquisa em Virologia Animal"
3551,"[Brazil, Curitiba] Molecular Biology/Microbiology Research Laboratory at the Federal Unive ..."
3555,"[Brazil, Curitiba] Molecular Biology/Microbiology Research Laboratory. Universidade Federa ..."
1395,"[Brazil, Ananindeua] National Influenza Center"
3372,"[Brazil, Eusebio] Oswaldo Cruz Foundation"
3375,"[Brazil, Eusebio] Oswaldo Cruz Foundation"
3379,"[Brazil, Eusébio] Oswaldo Cruz Foundation - Ceara"
3385,"[Brazil, Joinville] PA NORTE 24 HORAS COSTA E SILVA LUIZA SCHULTZ DOHLER"
3756,"[Brazil, Candeal, Salvador] Plataforma de Vigilancia Molecular (PVM) - FIOCRUZ/BA"
3374,"[Brazil, Maracanau] SECRETARIA DE SAUDE DE MARACANAU"
3382,"[Brazil, Tubarao] SECRETARIA MUNICIPAL DE SAUDE DE TUBARAO"
3773,"[Brazil, Botucatu] São Paulo State University"
3767,"[Brazil, Botucatu] São Paulo State University - Biotechnology Institute"
3386,"[Brazil, Florianopolis] TOTAL LIFE ASSISTENCIA A VIDA"
3688,"[Brazil, Fortaleza] UAPS AIDA SANTOS"
3687,"[Brazil, Fortaleza] UAPS CARLOS RIBEIRO"
3769,"[Brazil, Fortaleza] UAPS CPFAM GILMARIO TEIXEIRA"
3689,"[Brazil, Fortaleza] UAPS MELO JABORANDI"
3387,"[Brazil, Candido Mota] UBS CAMILA PELEGRINI MUSSI"
3388,"[Brazil, Garca] USF MARIA LUCIA FERREIRA CAVALLINI"
3454,"[Brazil, Salvador] Universidade Católica do Salvador"
1848,"[Brazil, Londrina] Universidade Estadual de Londrina"
3034,"[Brazil, Belo Horizonte] Universidade Federal de Minas Gerais"
3675,"[Brazil, São Paulo ] Universidade Federal de São Paulo(UNIFESP)"
3554,"[Brazil, Curitiba] Universidade Federal do Paraná"
3553,"[Brazil, Curitiba] Universidade Federal do Paraná"
3737,"[Brazil, Novo Hamburgo ] Universidade Feevale"
3711,"[Brazil, Novo Hamburgo] Universidade Feevale"
2230,"[Brazil, Ribeirao Preto] University of Sao Paulo"
3222,"[Brazil, São Paulo] University of São Paulo"
2229,"[Brazil, Ribeirao Preto] Virology Research Center, Ribeirao Preto School of Medicine, Univ ..."
268,"[Brunei, Bandar Seri Begawan] Qasya Diagnostic Services Sdn Bhd"
1121,"[Brunei, Negara] R.I.P.A.S. Hospital, Department of Laboratory Services"
1468,"[Bulgaria, Sofia] NDRVMI (National Diagnostic and Research Veterinary Medical Institute)"
247,"[Bulgaria, Sofia] National Centre of Infectious and"
1936,"[Bulgaria, Sofia] National Influenza Laboratory, Natl. Center of Inf. & Parasitic Dis"
1523,"[Burkina Faso, Ouagadougou] IRSS"
2106,"[Burkina Faso, Bobo-Dioulasso] Institut de Recherche en Sciences de la Santé (IRSS)"
3354,"[Burkina Faso, Ouagadougou] Laboratoire National d’Elevage"
1845,"[Burkina Faso, Ouagadougou 09] Services Vétérinaires"
1937,"[Cambodia, Phnom Penh ] Centre for Livestock and Agriculture Development, Phnom Penh, Camb ..."
2023,"[Cambodia, Phnom Penh] Institut Pasteur du Cambodia"
42,"[Cambodia, Phnom Penh] Institute Pasteur du Cambodia"
1397,"[Cambodia, Phnom Penh] NAMRU-2, Cambodia"
3617,"[Cambodia, Phnom Penh] National Institute of Public Health"
3616,"[Cambodia, Phnom Penh] National Institute of Public Health"
3612,"[Cambodia, Phnom Penh] National Institute of Public Health"
3611,"[Cambodia, Phnom Penh] National Institute of Public Heath"
1450,"[Cambodia, Phnom Penh] National Public Health Laboratory"
1938,"[Cambodia, Phnom Penh] National Veterinary Research Institute"
1939,"[Cambodia, Phnom Penh] National Veterinary Research Institute"
245,"[Cameroon, Yaoundé] Centre Pasteur du Cameroun"
2358,"[Cameroon, Garoua] Laboratoire National Vétérinaire (LANAVET)"
2357,"[Cameroon, Garoua] Laboratoire National Vétérinaire (LANAVET)"
2253,"[Cameroon, Buea] University of Buea"
3659,"[Canada, Saint-Hyacinthe ]  Laboratoire de santé animale Ministère de l'Agriculture, des P ..."
3527,"[Canada,  Edmonton] Alberta Agriculture and Forestry, Government of Alberta"
1842,"[Canada, Abbotsford] Animal Health Centre, Ministry of Agriculture"
3525,"[Canada, Charlottetown] Atlantic Veterinary College, University of Prince Edward Island"
3350,"[Canada, Vancouver] B.C. Centre for Disease Control"
1813,"[Canada, Vancouver] B.C. Centre for Disease Control"
2317,"[Canada, Vancouver] B.C. Centre for Disease Control"
3544,"[Canada, Vancouver] British Columbia Centre for Disease Control"
2450,"[Canada, Winnipeg] Cadham Provincial Laboratory"
3355,"[Canada, Winnipeg] Canadian Food Inspection Agency"
1843,"[Canada, Winnipeg] Canadian Food Inspection Agency"
3352,"[Canada, Winnipeg] Canadian Food Inspection Agency"
2459,"[Canada, St. John's] Dr. Leonard A. Miller Centre for Health Services"
1129,"[Canada, Ottawa] Health Canada"
2455,"[Canada, Moncton] Hôpital Georges L. Dumont"
2316,"[Canada, Sainte-Anne-de-Bellevue] Laboratoire de Santé Publique du Québec"
3522,"[Canada, Winnipeg] Manitoba Agriculture"
1694,"[Canada, Hamilton] McMaster University"
1398,"[Canada, Winnipeg] National Microbiology Laboratory, Public Health Agency of Canada (PHAC)"
1520,"[Canada, Toronto] Ontario Agency for Health Protection and Promotion (OAHPP)"
3523,"[Canada, Guelph] Ontario Veterinary College, University of Guelph"
2275,"[Canada, Edmonton] Provincial Laboratory for Public Health for Northern Alberta"
2299,"[Canada, Edmonton] Provincial Laboratory for Public Health, Alberta Public Laboratories"
1668,"[Canada, Calgary] Provincial Laboratory of Public Health for Southern Alberta"
1669,"[Canada, Winnipeg] Public Health Agency of Canada (PHAC)"
2305,"[Canada, Peterborough] Public Health Ontario"
2300,"[Canada, Hamilton] Public Health Ontario"
2302,"[Canada, London] Public Health Ontario"
2303,"[Canada, Ottawa] Public Health Ontario"
2304,"[Canada, Orillia] Public Health Ontario"
1519,"[Canada, Toronto] Public Health Ontario"
2306,"[Canada, Sault Ste. Marie] Public Health Ontario"
2309,"[Canada, Timmins] Public Health Ontario"
2307,"[Canada, Sudbury] Public Health Ontario"
2308,"[Canada, Thunder Bay] Public Health Ontario"
2301,"[Canada, Kingston] Public Health Ontario"
2456,"[Canada, Charlottetown] Queen Elizabeth Hospital Department of Laboratory Medicine"
2457,"[Canada, Halifax] Queen Elizabeth II Health Sciences Centre"
2458,"[Canada, Regina] Roy Romanow Provincial Laboratory"
2451,"[Canada, Regina] Roy Romanow Provincial Laboratory"
3516,"[Canada, Regina] Roy Romanow Provincial Laboratory"
1661,"[Canada, Toronto] UHN"
1720,"[Canada, Toronto] University Health Network"
3526,"[Canada, Saskatoon] Western College of Veterinary Medicine,  University of Saskatchewan"
3537,"[Canada, Saskatoon, ] Western Veterinary College"
1961,"[Central African Republic, Bangui] Institut Pasteur de Bangui"
3435,"[Chile, Santiago] Instituto de Salud Publica"
2349,"[Chile, Santiago] Instituto de Salud Publica de Chile"
3441,"[Chile, Santiago] Instituto de Salud Pública de Chile"
2485,"[Chile, Santiago] Universidad de Chile"
3104,"[Chile, Santiago] Universidad de Chile"
2488,"[Chile, Santiago] Universidad de Chile"
2483,"[Chile, Santiago] Universidad de Chile"
2482,"[Chile, Santiago] Universidad de Chile"
2481,"[Chile, Santiago] Universidad de Chile"
2486,"[Chile, Santiago] Universidad de Chile"
2487,"[Chile, Santiago] Universidad de Chile"
2484,"[Chile, Santiago] Universidad de Chile"
3103,"[Chile, Chillán] Universidad de Concepción"
3668,"[China, Jining]  Jining Center for Disease Control and Prevention"
1710,"[China, BJ] A"
2781,"[China, Beijing] A/swine/Shandong/POS10290/2018"
3511,"[China, Jinhua] Affiliated Hospital of Guangdong Medical College"
2294,"[China, Hefei] Anhui Provincial CDC, Acute Infectious Disease Prevention & Ctrl"
2077,"[China, Hefei] Anhui Provincial Center for Disease Control and Prevention"
2293,"[China, Hefei] Anhui Provincial Center for Disease Control and Prevention"
3144,"[China, Yangzhou] Animal Infectious Disease Laboratory, College of Veterinary Medicine, Ya ..."
2600,"[China, Beijing] Beijing Center for Disease Prevention and Control"
2156,"[China, Beijing] Beijing Center for Diseases Prevention and Control"
3795,"[China, Beijing] Beijing Chaoyang Hospital"
3796,"[China, Beijing] Beijing Chaoyang Hospital"
2689,"[China, Shenzhen] Beijing Genomics Institute (BGI)"
1705,"[China, Shenzhen] Beijing Genomics Institute (BGI)"
2701,"[China,  Shenzhen] Beijing Genomics Institute (BGI)"
3008,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2425,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
1879,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2950,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2996,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2883,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2878,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2115,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2926,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2903,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2877,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2879,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2882,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2885,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2886,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2887,"[China, Beijiing] Beijing Institute of Microbiology and Epidemiology"
2888,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2889,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2880,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2881,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2884,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2890,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2891,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2892,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2893,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2894,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2895,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2896,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
1698,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2937,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2938,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2939,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2940,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2941,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3006,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3012,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2913,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2914,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2915,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2917,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2923,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2927,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2955,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2956,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2961,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2968,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2970,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2974,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2978,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2981,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2983,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2985,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2988,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2990,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2995,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2999,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3000,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3004,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3013,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3018,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2911,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2912,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2918,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2921,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2931,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2959,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2960,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2962,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2963,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2991,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2994,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3003,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3007,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3009,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3010,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3011,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
3014,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2904,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2905,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2906,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2897,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2898,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2899,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2900,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2901,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2902,"[China, Beijing] Beijing Institute of Microbiology and Epidemiology"
2945,"[China, Beiijing] Beijing Institute of Microbiology and Epidemiology"
