column_name,required_column,description
bs-food_industry_class,Optional,"The US FDA Class is the second of five elements that comprise a FDA product code. This element is directly related to an Industry and designates the food group, source, product, use, pharmacological action, category or animal species of the product. A Class code is more specific than an Industry; for example, the Fishery/Seafood products Industry may contain Classes such as Smoked, Breaded and such, e.g., Coffee, Decaffeinated"
bs-food_industry_code,Optional,"The US FDA Industry Code is the first of five elements that comprise an FDA product code. An Industry code determines the broadest area into which a product falls, e.g., 31 Coffee and Tea"
bs-food_origin,Optional,"A reference to a place on the Earth, by its name or by its geographical location that describes the origin of the food commodity, either in terms of its cultivation or production. This field encourages terms listed under geographic location (http://purl.obolibrary.org/obo/GAZ_00000448), e.g., Thailand"
bs-food_pack_integrity,Optional,"A term label and term id to describe the state of the packing material and text to explain the exact condition.  This field encourages terms listed under food packing medium integrity (http://purl.obolibrary.org/obo/FOODON_03530218), e.g., food packing medium compromised [FOODON:00002517]"
bs-food_pack_medium,Optional,"The medium in which the food is packed for preservation and handling or the medium surrounding homemade foods, e.g., peaches cooked in sugar syrup. The packing medium may provide a controlled environment for the food. It may also serve to improve palatability and consumer appeal. This includes edible packing media (e.g. fruit juice), gas other than air (e.g. carbon dioxide), vacuum packed, or packed with aerosol propellant. This field encourages terms under food packing medium (http://purl.obolibrary.org/obo/FOODON_03480020). Multiple terms may apply and can be separated by pipes, e.g., vacuum-packed [FOODON:03480027]"
bs-food_preserv_proc,Optional,"The methods contributing to the prevention or retardation of microbial, enzymatic or oxidative spoilage and thus to the extension of shelf life. This field encourages terms listed under food preservation process (http://purl.obolibrary.org/obo/FOODON_03470107), e.g., food fermentation [FOODON:00001304]"
bs-food_processing_method,Optional,"Methods for processing food, e.g., food (blanched) [FOODON:00002767]"
bs-food_prod,Optional,"Descriptors of the food production system or of the agricultural environment and growing conditions related to the farm production system. This field encourages terms listed under food production (http://purl.obolibrary.org/obo/FOODON_03530206). Multiple terms may apply and can be separated by pipes, e.g., restaurant food preparation process [FOODON:03530110]"
bs-food_prod_synonym,Optional,"Other names by which the food product is known by (e.g., regional or non-English names), e.g., pinot gris"
bs-food_product_type,Optional,"A food product type is a class of food products that is differentiated by its food composition (e.g., single- or multi-ingredient), processing and/or consumption characteristics. This does not include brand name products but it may include generic food dish categories. This field encourages terms under food product type (http://purl.obolibrary.org/obo/FOODON:03400361). For terms related to food product for an animal, consult food product for animal (http://purl.obolibrary.org/obo/FOODON_03309997). If the proper descriptor is not listed please use text to describe the food type. Multiple terms can be separated by one or more pipes, e.g., multi-component food product [FOODON:00002501]"
bs-food_quality_date,Optional,"The date recommended for the use of the product while at peak quality, this date is not a reflection of safety unless used on infant formula this date is not a reflection of safety and is typically labeled on a food product as """"best if used by,"""" best by,"""" """"use by,"""" or """"freeze by"""", e.g., 5/24/2020"
bs-food_source,Optional,"Individual organism or category of organisms from which the food product or its major ingredient is derived, e.g., giant tiger prawn [FOODON:03412612]"
bs-food_type_processed,Optional,"Food type processed in facility, e.g., dairy"
bs-host,Optional,"The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, ""Homo sapiens""."
bs-host_age,Optional,Age of host at the time of sampling
bs-host_am,Optional,"The class(es) or name(s) (generic or brand) of the antimicrobial(s) given to the food animal within the last 30 days, e.g., tetracycline [CHEBI:27902]"
bs-host_animal_breed,Optional,"The animal breed of the host organism.  Used mainly for animal hosts, e.g., duroc, angus, mixed breed"
bs-host_body_product,Optional,"substance produced by the host, e.g. stool, mucus, where the sample was obtained from"
bs-host_disease,Optional,"Name of relevant disease, e.g. Salmonella gastroenteritis. Controlled vocabulary, http://bioportal.bioontology.org/ontologies/1009 or http://www.ncbi.nlm.nih.gov/mesh"
bs-host_group_size,Optional,"The number of food animals of the same species that are maintained together as a unit, i.e. a herd or flock, e.g., 80"
bs-host_housing,Optional,"Description of the housing system of the livestock. This field encourages terms listed under terrestrial management housing system (http://opendata.inra.fr/EOL/EOL_0001605), e.g., pen [EOL:0001902]"
bs-host_sex,Optional,Biological sex of the host
bs-host_subject_id,Optional,"a unique identifier by which each subject can be referred to, de-identified, e.g. #131"
bs-host_tissue_sampled,Optional,"name of body site where the sample was obtained from, such as a specific organ or tissue, e.g., tongue, lung. For foundational model of anatomy ontology (fma) (v 4.11.0) or Uber-anatomy ontology (UBERON) (v releases/2014-06-15) terms, please see http://purl.bioontology.org/ontology/FMA or http://purl.bioontology.org/ontology/UBERON"
bs-host_variety,Optional,"The variety or cultivar of the host organism; the name given to a particular variety of organism to distinguish it from otherwise similar organisms of the same species, e.g., romaine lettuce; Athena melons; Patio Snacker cucumbers"
bs-ifsac_category,Optional,"The IFSAC food categorization scheme has five distinct levels to which foods can be assigned, depending upon the type of food. First, foods are assigned to one of four food groups (aquatic animals, land animals, plants, and other). Food groups include increasingly specific food categories; dairy, eggs, meat and poultry, and game are in the land animal food group, and the category meat and poultry is further subdivided into more specific categories of meat (beef, pork, other meat) and poultry (chicken, turkey, other poultry). Finally, foods are differentiated by differences in food processing (such as pasteurized fluid dairy products, unpasteurized fluid dairy products, pasteurized solid and semi-solid dairy products, and unpasteurized solid and semi-solid dairy products. An IFSAC food category chart is available from https://www.cdc.gov/foodsafety/ifsac/projects/food-categorization-scheme.html PMID: 28926300, e.g., Plants:Produce:Vegetables:Herbs:Dried Herbs"
bs-indoor_surf,Optional,type of indoor surface
bs-indoor_surf_subpart,Optional,"The subpart of the object(s) that was swabbed, like a cart, drain, counter, etc., e.g., wheel"
bs-intended_consumer,Optional,"Food consumer type, human or animal, for which the food product is produced and marketed, e.g., human"
bs-isolate_name_alias,Optional,Other IDs associated with this isolate or strain. Separate with '; ' if more than one
bs-label_claims,Optional,"Descriptors of the food production system such as wild caught, free-range, organic, free-range, industrial, hormone-free, antibiotic free, cage free, e.g., wild caught"
bs-lat_lon,Optional,"The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format ""d[d.dddd] N|S d[dd.dddd] W|E"", eg, 38.98 N 77.11 W"
bs-location_in_facility,Optional,"Name of the location or room in the facility where the sampling occurred, e.g., ripening room"
bs-material_condition,Optional,"Condition of material sampled, e.g., rusted"
bs-mechanical_damage,Optional,information about any mechanical damage exerted on the plant; can include multiple damages and sites
bs-plant_growth_med,Optional,"Type of the media used for growing sampled plants, e.g., soil [ENVO:00001998]"
bs-plant_water_method,Optional,"Description of the equipment or method used to distribute water to crops. This field encourages terms listed under irrigation process (http://purl.obolibrary.org/obo/AGRO_00000006). Multiple terms can be separated by pipes, e.g., drip irrigation process [AGRO:00000056]"
bs-project_name,Optional,"A concise name that describes the overall project, for example ""Analysis of sequences collected from Antarctic soil"""
bs-reference_material,Optional,"Indicates that a standards body or external group asserts this sample is reference material, eg, 'NIST reference material for genome sequencing validation'."
bs-rel_location,Optional,"Location of sample to other parts of the farm, e.g. under crop plant, near irrigation ditch, from the dirt road, from air above crops, nearby river, e.g., furrow"
bs-samp_collect_device,Optional,Method or device employed for collecting sample
bs-sanitizer_used_postharvest,Optional,"Substance intended for preventing, neutralizing, destroying, repelling, or mitigating the effects of any pest or microorganism; indicate the sanitizer used during the postharvest cleaning process. Multiple terms can be separated by pipes, e.g., chlorine bleach"
bs-sequenced_by,Optional,"The name of the agency that generated the sequence, e.g., Centers for Disease Control and Prevention"
bs-serotype,Optional,"Taxonomy below subspecies; a variety (in bacteria, fungi or virus) usually based on its antigenic properties. Same as serovar and serogroup. e.g. serotype=""H1N1"" in Influenza A virus CY098518."
bs-serovar,Optional,"Taxonomy below subspecies; a variety (in bacteria, fungi or virus) usually based on its antigenic properties. Same as serovar and serotype. Sometimes used as species identifier in bacteria with shaky taxonomy, e.g. Leptospira, serovar saopaolo S76607 (65357 in Entrez)."
bs-soil_type,Optional,soil series name or other lower-level classification
bs-spec_intended_cons,Optional,"Food consumer type, human or animal, for which the food product is produced and marketed. This field encourages terms listed under food consumer group (http://purl.obolibrary.org/obo/FOODON_03510136), e.g., infant or toddler as food consumer [FOODON:03510020]"
bs-surf_material,Optional,surface materials at the point of sampling
bs-surf_temp,Optional,temperature of the surface at the time of sampling
bs-surface_orientation,Optional,"Describe which surface of the object is swabbed. (e.g underside, top, corner), e.g., underside"
bs-upstream_intervention,Optional,"List any known health-related interventions (prophylactic, therapeutic, and/or metaphylactic) administered to the host, i.e. vaccinations, hormonal patches, antibiotics, injections in feed, etc., e.g., prophylactic/metaphylactic antibiotics"
bs-title,Optional,"Optional internal field for how the BioSample submission should be named when viewed from the NCBI submission portal. If not provided, when performing submissions <--submission_name> with the suffix ""-BS"" will be used instead."
bs-comment,Optional,Optional internal field explaining the purpose of the submission for when interacting and resolving submission issues with NCBI.
